CHANNEL;OXYGEN AIR SAT;TIME ABS;TIME REL;
2;21.228;1635804611.5123935;3923.589074611664;
1;21.343;1635804612.214519;3924.29120016098;
2;21.235;1635804612.808254;3924.8849351406097;
1;21.34;1635804613.5183208;3925.595001935959;
2;21.212;1635804614.1104355;3926.187116622925;
1;21.339;1635804614.816315;3926.892996072769;
2;21.21;1635804615.4369361;3927.5136172771454;
1;21.34;1635804616.1530101;3928.2296912670135;
2;21.189;1635804616.7598133;3928.836494445801;
1;21.339;1635804617.4651365;3929.5418176651;
2;21.18;1635804618.0632992;3930.139980316162;
1;21.347;1635804618.7721605;3930.8488416671753;
2;21.176;1635804619.3708875;3931.447568655014;
1;21.341;1635804620.0804;3932.1570811271667;
2;21.183;1635804620.6802897;3932.7569708824158;
1;21.343;1635804621.3802397;3933.456920862198;
2;21.177;1635804621.9786956;3934.055376768112;
1;21.342;1635804622.6876361;3934.7643172740936;
2;21.17;1635804623.287885;3935.364566087723;
1;21.336;1635804623.9944406;3936.0711216926575;
2;21.171;1635804624.5880396;3936.664720773697;
1;21.342;1635804625.2932346;3937.3699157238007;
2;21.17;1635804625.8855824;3937.962263584137;
1;21.345;1635804626.5941591;3938.6708402633667;
2;21.171;1635804627.1927044;3939.269385576248;
1;21.344;1635804627.8970788;3939.9737598896027;
2;21.172;1635804628.4882357;3940.5649168491364;
1;21.336;1635804629.196609;3941.273290157318;
2;21.175;1635804629.7898543;3941.866535425186;
1;21.346;1635804630.4984598;3942.575140953064;
2;21.226;1635804631.094151;3943.170832157135;
1;21.336;1635804631.8031266;3943.8798077106476;
2;21.237;1635804632.4147236;3944.491404771805;
1;21.34;1635804633.1181002;3945.1947813034058;
2;21.224;1635804633.709444;3945.7861251831055;
1;21.34;1635804634.4163158;3946.492996931076;
2;21.224;1635804635.0088582;3947.085539340973;
1;21.349;1635804635.6977615;3947.7744426727295;
2;21.213;1635804636.2931232;3948.369804382324;
1;21.342;1635804637.0008376;3949.0775187015533;
2;21.197;1635804637.5942564;3949.670937538147;
1;21.348;1635804638.3038855;3950.380566596985;
2;21.189;1635804638.8958035;3950.972484588623;
1;21.342;1635804639.6051672;3951.6818482875824;
2;21.195;1635804640.207009;3952.283690214157;
1;21.345;1635804640.9116857;3952.98836684227;
2;21.192;1635804641.5140474;3953.590728521347;
1;21.339;1635804642.28924;3954.365921020508;
2;21.193;1635804642.8867548;3954.9634358882904;
1;21.352;1635804643.5963547;3955.6730358600616;
2;21.178;1635804644.1968787;3956.273559808731;
1;21.351;1635804644.898589;3956.9752700328827;
2;21.188;1635804645.5405312;3957.617212295532;
1;21.348;1635804646.2504864;3958.3271675109863;
2;21.225;1635804646.8455694;3958.922250509262;
1;21.338;1635804647.5503159;3959.6269969940186;
2;21.209;1635804648.1583982;3960.2350792884827;
1;21.337;1635804648.8710701;3960.9477512836456;
2;21.215;1635804649.4678242;3961.5445053577423;
1;21.345;1635804650.1817265;3962.2584075927734;
2;21.249;1635804650.7861812;3962.8628623485565;
1;21.34;1635804651.4873676;3963.56404876709;
2;21.271;1635804652.083774;3964.160455226898;
1;21.339;1635804652.7928267;3964.869507789612;
2;21.277;1635804653.386429;3965.4631102085114;
1;21.342;1635804654.0962222;3966.1729032993317;
2;21.26;1635804654.6883018;3966.7649829387665;
1;21.344;1635804655.3904984;3967.4671795368195;
2;21.276;1635804655.987721;3968.064402103424;
1;21.339;1635804656.697473;3968.774154186249;
2;21.26;1635804657.2995589;3969.37624001503;
1;21.336;1635804658.002287;3970.0789680480957;
2;21.245;1635804658.5997636;3970.6764447689056;
1;21.343;1635804659.308673;3971.385354042053;
2;21.216;1635804659.9066677;3971.9833488464355;
1;21.34;1635804660.6945093;3972.771190404892;
2;21.19;1635804661.2899113;3973.3665924072266;
1;21.341;1635804661.9943416;3974.071022748947;
2;21.2;1635804662.589516;3974.6661970615387;
1;21.335;1635804663.299659;3975.376340150833;
